product_name,product_link-href,img-src,komposisi,komposisi_lain,kalori_total,lemak_total,protein,karbohidrat_total,gula,garam
Tango Creamio Banana Pudding (200ml),https://nyemil.com/tango-creamio-banana-pudding-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Tango-Creamio-Banana-Pudding-200ml_fi.jpg,"Air, susu sapi segar (7,5%), gula, krimer nabati, susu skim bubuk (4,3%), premiks mineral, penstabil, kuning telur bubuk, bubuk pisang (0,1%), gula palem, perisa sintetik, ekstrak malt (mengandung barley 0,05%), garam, pengemulsi, pengatur keasaman, antioksidan natrium askorbat, premiks vitamin, pewarna sintetik tartrazin CI No.19140, vitamin D3 (mengandung antioksidan tokoferol).","Alergen:Susu sapi segar, susu skim bubuk, kuning telur bubuk, ekstrak malt, barley.",144 kkal,4 g,4.8 g,24 g,16 g,224 mg
Milku Stroberi (200ml),https://nyemil.com/milku-stroberi-200ml/,https://nyemil.com/wp-content/uploads/2023/10/Milku-Stroberi-200ml_fi.jpg,"Air, Susu bubuk (7.8%), Gula, Susu skim bubuk, Penstabil nabati dan fosfat, Pengemulsi nabati, Perisa sintetik, Pengatur keasaman, Garam, Ekstrak stroberi (0.001%), Pewarna sintetis (karmoisin Cl 14720, ponceau 4R Cl 162255).","Alergen:Susu bubuk, susu skim bubuk.",150 kkal,4 g,6 g,22 g,22 g,130 mg
Milo Original (240ml),https://nyemil.com/milo-original-240ml/,https://nyemil.com/wp-content/uploads/2023/10/Milo-Original-240ml_fi.jpg,"Air, padatan susu (4%), ekstrak malt (barli), gula, kakao bubuk (1%), minyak nabati (mengandung antioksidan askorbil palmitat), maltodekstrin, penstabil, 4 mineral, premiks vitamin, pengemulsi lesitin kedelai, pemanis alami glikosida steviol, perisa sintetik vanila.","Alergen:Susu, barli.",170 kkal,6 g,5 g,25 g,16 g,110 mg
Frisian Flag Low Fat Belgian Chocolate (225ml),https://nyemil.com/frisian-flag-low-fat-belgian-chocolate-225ml/,https://nyemil.com/wp-content/uploads/2023/10/Frisian-Flag-Low-Fat-Belgian-Chocolate-225ml_fi.jpg,"Air, Susu (segar (22,5%), skim bubuk, bubuk whey) (28%), Sukrosa, Fruktosa, Kakao bubuk (0,7%), Penstabil nabati, Perisa sintetik (mengandung antioksidan asam askorbat), Kalsium susu, 9 vitamin (mengandung antioksidan tokoferol), 1 mineral","Alergen:Susu segar, skim bubuk, bubuk whey.",130 kkal,2.5 g,6 g,22 g,21 g,90 mg
Bear Brand Gold Teh Putih (140ml),https://nyemil.com/bear-brand-gold-teh-putih-140ml/,https://nyemil.com/wp-content/uploads/2023/10/Bear-Brand-Gold-Teh-Putih-140ml_fi.jpg,"Padatan susu (susu sapi rendah lemak, susu bubuk skim), Air, Gula, Minyak nabati (mengandung antioksidan askorbil palmitat), Penstabil nabati, Ekstrak teh putih (0,14%), Kalsium karbonat, Perisa sintetik (mengandung pewarna karamel III), Premiks vitamin, Pengemulsi lesitin kedelai.",Alergen:Susu,70 kkal,2 g,4 g,10 g,8 g,63 mg
Bear Brand Gold Malt Putih (140ml),https://nyemil.com/bear-brand-gold-malt-putih-140ml/,https://nyemil.com/wp-content/uploads/2023/10/Bear-Brand-Gold-Malt-Putih-140ml_fi.jpg,"Padatan susu 64.7% (susu sapi rendah lemak, susu bubuk skim), Air, Maltodekstrin, Sari malt barli 2.7%, Gula, Penstabil nabati, Kalsium karbonat, Premiks vitamin, Perisa sintetik.","Alergen:Susu, barli.",110 kkal,1.5 g,4 g,19 g,9 g,70 mg
Indomie Mi Goreng Cabe Ijo (85g),https://nyemil.com/indomie-mi-goreng-cabe-ijo-85g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Goreng-Cabe-Ijo-85g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasaman, penstabil (nabati dan fosfat), antioksidan TBHQ dan pewarna sintetik tartrazin CI 19140.
Bumbu: Garam, gula, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), bawang merah bubuk, bawang putih bubuk, daun bawang, perisa sintetik ayam (mengandung udang), serpihan cabe hijau 0.2%, ekstrak ragi dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, dan Pantotenat) .
Minyak: Minyak nabati, cabe hijau 3%, bawang merah, rempah-rempah, pewarna alami klorofilin tembaga kompleks CI 75810 dan perisa sintetik jeruk limau (mengandung antioksidan alfa tokoferol dan askorbil palmitat)
Kecap manis: Gula, air, kedelai, gandum, garam, bumbu dan rempah rempah, minyak wijen.","Alergen:Tepung terigu, udang, kedelai, gandum. Mungkin mengandung kacang tanah, ikan, telur, dan susu.",420 kkal,21 g,8 g,49 g,4 g,970 mg
Indomie Mi Keriting Ayam Panggang (90g),https://nyemil.com/indomie-mi-keriting-ayam-panggang-90g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Mi-Keriting-Ayam-Panggang-90g_fi.jpg,"Mi: Tepung terigu, minyak nabati, gluten, garam, penstabil (nabati dan losfat, mengandung kedelai), pengatur keasaman, mineral (zat besi), dan pewarna sintetik tartrazin Cl 19140 dan antioksidan (TBHQ).
Bumbu: Gula, garam, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), bawang merah bubuk, lada bubuk, perisa sintetik ayam, persia sintetik barbeque (mengandung susu, penguat rasa dinatrium 5-ribonukleotida), vitamin (A, B1, B6, B12, Niacin, Asam Folat, Pantotenat).
Bumbu Kuah: Garam, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), gula, perisa sintetik ayam (mengandung ikan dan telur), bawang putih bubuk, bawang merah bubuk, dan daun bawang.
Minyak: Minyak nabati dan bawang merah.
Saus Cabe: Cabe, air, gula, garam, pengental, pengatur keasaman, bumbu penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), persia (alami dan sintetik), pengawet (natrium benzoat, natrium metabisulfit).
Pelengkap: Baso ayam dan sayuran kering.","Alergen:Tepung terigu, kedelai, ikan, telur. Mungkin mengandung kacang tanah, udang, dan moluska.",390 kkal,15 g,10 g,53 g,12 g,1460 mg
Indomie Mi Goreng Pedas (79g),https://nyemil.com/indomie-mi-goreng-pedas-79g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Mi-Goreng-Pedas-79g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasaman, penstabil (nabati dan fosfat), mineral (zat besi), antioksidan TBHQ, pewarna sintetik tartrazin Cl 19140
Bumbu: Gula, garam, penguat rasa monosodium glutamat, perisa sintetik ayam (mengandung telur, ikan, susu, penguat rasa dinatrium inosinat, antioksidan alfa tokoferol), bawang putih bubuk, bawang merah bubuk, lada bubuk dan vitamin ( A, B1, B2, B6, B12, Niasin, Asam folat dan pantotenat)
Cabe Bubuk 0,5%
Minyak: Minyak nabati, cabe merah (0,1%) dan bawang merah
Kecap Manis: Gula, air, kedelai dan gandum, garam, rempah-rempah, minyak nabati (mengandung wijen)
Bawang Goreng: Mengandung antioksidan TBHQ","Alergen:Tepung terigu, ikan, telur, kedelai, gandum. Mungkin mengandung kacang tanah dan udang.",360 kkal,13 g,8 g,52 g,7 g,980 mg
Indomie Mi Goreng Sambal Rica Rica (85g),https://nyemil.com/indomie-mi-goreng-sambal-rica-rica-85g/,https://nyemil.com/wp-content/uploads/2023/10/Indomie-Mi-Goreng-Sambal-Rica-Rica-85g_fi.jpg,"Mi: Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ dan pewarna sintetik tartrazin Cl 19140.
Bumbu: Gula, garam, penguat rasa (mononatrium glutamat, dinatrium inosinat dan guanilat), cabe merah kering (0,6%), tomat bubuk, bawang merah bubuk, bawang putih bubuk, ekstrak ragi (mengandung kedelai) dan vitamin (A, B1, B6, B12, niasin, asam folat dan pantotenat).
Minyak: Minyak nabati, rempah-rempah dan cabe merah (1,6%).","Alergen:Tepung terigu, kedelai. Mungkin mengandung kacang tanah, ikan, udang, telur, dan susu.",420 kkal,22 g,8 g,49 g,3 g,850 mg
