product_name,product_link-href,img-src,komposisi,komposisi_lain,kalori_total,lemak_total,protein,karbohidrat_total,gula,garam
Frisian Flag Milky Stroberi (180ml),https://nyemil.com/frisian-flag-milky-stroberi-180ml/,https://nyemil.com/wp-content/uploads/2023/10/Frisian-Flag-Milky-Stroberi-180ml_fi.jpg,"Susu (Segar (46%), Skim Bubuk, Bubuk Whey, Lemak Susu) (48%), Air, Sukrosa, Penstabil Nabati, 3 Mineral, Perisa Sintetik, Perisa Alami, Ekstrak Buah Stroberi (0.01%), 7 Vitamin (mengandung antioksidan tokoferol), Pewarna Alami Karmin CI 75470.","Alergen:Susu Segar, Skim Bubuk, Bubuk Whey, dan Lemak Susu.",110 kkal,4.5 g,4 g,15 g,15 g,70 mg
Fox's Berries (90g),https://nyemil.com/foxs-berries-90g/,https://nyemil.com/wp-content/uploads/2023/10/Foxs-Berries-90g_fi.jpg,"Gula, sirup glukosa, pengatur keasaman asam laktat, perisa sintetik (black cherry, rasberry, wildberry), konsentrat buah dan sayur (carrot & hibiscus) (0.30%), ekstrak buah ceri (0.005%), ekstrak buah raspberry (0.005%), ekstrak buah stroberi (0.005%). Tanpa pewarna sintetik.",Alergen:Dapat mengandung susu dan kacang pohon.,300 kkal,0 g,0 g,80 g,60 g,90 mg
OREO Soft Cake (48g),https://nyemil.com/oreo-soft-cake-48g/,https://nyemil.com/wp-content/uploads/2023/10/OREO-Soft-Cake-48g_fi.jpg,"Cokelat Paduan (Mengandung Susu) (32%), Gula, Tepung Terigu, Minyak Nabati (Mengandung Antioksidan TBHQ), Sirup Glukosa, Telur, Humektan, Bubuk Cokelat (2%), Pengemulsi (Nabati & Fosfat), Sirup Fruktosa, Pati Jagung, Dekstrosa, Pemanis Alami Sorbitol, Pengatur Keasaman, Garam, Pengembang, Perisa Sintetik, Pengawet Kalium Sorbat, Penstabil Monokalsium Fosfat, Enzim Fosfolipase.","Alergen:Susu, Tepung Terigu, Telur, Pengemulsi (Nabati & Fosfat).",240 kkal,12 g,3 g,30 g,12 g,45 mg
Pocky Strawberry (45g),https://nyemil.com/pocky-strawberry-45g/,https://nyemil.com/wp-content/uploads/2023/10/Pocky-Strawberry-45g_fi.jpg,"Cokelat Compound Putih (Mengandung Susu Bubuk), Tepung Terigu, Gula, Pengental (Dipati Fosfat (1412)), Lemak Reroti (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Tepung Gandum Utuh, Susu Bubuk, Ekstrak Malt, Perisa Sintetik Stroberi (0.31%), Mentega (Mengandung Antioksidan (Tokoferol Campuran Pekat (307b))), Susu), Garam, Stroberi Bubuk (0.15%), Pengembang (Natrium Hidrogen Karbonat (500(ii))), Pewarna Alami (Karmin (CI. 75470)), Pengemulsi (Lesitin Kedelai (322(i))), Ragi.","Alergen:Susu Bubuk, Tepung Terigu, Tepung gandum Utuh, Ekstrak Malt. Mungkin Mengandung Kedelai, Barley, Rye, dan Oat. Diproduksi menggunakan peralatan yang juga memproses Almond.",235.7 kkal,9.6 g,2.1 g,30 g,15 g,96.4 mg
Pocky Cookies & Cream (40g),https://nyemil.com/pocky-cookies-cream-40g/,https://nyemil.com/wp-content/uploads/2023/10/Pocky-Cookies-Cream-40g_fi.jpg,"Cokelat Compound Putih (Mengandung Susu Bubuk), Tepung Terigu, Gula, Pengental (Dipati Fosfat (1412), Pati Asetat (1420)), Remahan Biskuit (Mengandung Perisa Sintetik (Cokelat), Tepung Terigu), Lemak Reroti (Mengandung Antioksidan (Tokoferol Campuran Pekat(307b))), Tepung Gandum Utuh, Kakao Bubuk (1%), Susu Bubuk (1%), Perisa Sintetik (Susu, Vanila (0.22%), Mentega (Mengandung Antioksidan (Tokoferol Campuran Pekat(307b))), Garam, Ragi, Pengembang (Natrium Hidrogen Karbonat (500(Ii))).","Alergen:Susu Bubuk, Tepung Terigu, dan Tepung Gandum Utuh. Diproduksi menggunakan peralatan yang juga memproses Barley, Rye, Oat dan Almond.",200 kkal,9 g,2 g,28 g,14 g,60 mg
Indomilk Susu Streil Plain (189ml),https://nyemil.com/indomilk-susu-streil-plain-189ml/,https://nyemil.com/wp-content/uploads/2023/10/Indomilk-Susu-Streil-Plain-189ml_fi.jpg,Susu sapi segar (100%),Alergen:Susu sapi segar,110 kkal,6 g,6 g,8 g,8 g,95 mg
Frisian Flag Full Cream (225ml),https://nyemil.com/frisian-flag-full-cream-225ml/,https://nyemil.com/wp-content/uploads/2023/11/Frisian-Flag-Full-Cream-225ml_fi.jpg,"Susu (Segar, Skim Bubuk, Bubuk Whey, Lemak Susu) (73%), Air, Penstabil Nabati, 2 Mineral, 9 Vitamin (mengandung antioksidan tokoferol)","Alergen:Susu Segar, Skim Bubuk, Bubuk Whey, Lemak Susu",130 kkal,7 g,7 g,10 g,10 g,90 mg
Diamond Milk Full Cream (200ml),https://nyemil.com/diamond-milk-full-cream-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Diamond-Milk-Full-Cream-200ml_fi.jpg,"Susu Sapi Segar (99.9%), Premiks Vitamin.",Alergen:Susu Sapi Segar,120 kkal,8 g,6 g,10 g,6 g,100 mg
Diamond Milk Rasa Stroberi (200ml),https://nyemil.com/diamond-milk-rasa-stroberi-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Diamond-Milk-Rasa-Stroberi-200ml_fi.jpg,"Susu Sapi Segar (60%), Air, Gula, Susu Skim Bubuk (1.8%), Perisa Sintetik, Penstabil Nabati, Premiks Vitamin, Pewarna Sintetik (Karmoisin Cl No. 14720, Ponceau 4R CI No. 16255).","Alergen:Susu Sapi Segar, Susu Skim Bubuk",130 kkal,5 g,5 g,17 g,15 g,10 mg
Diamond Milk Rasa Cokelat (200ml),https://nyemil.com/diamond-milk-rasa-cokelat-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Diamond-Milk-Rasa-Cokelat-200ml_fi.jpg,"Susu Sapi Segar (60%), Air, Gula, Dekstrosa, Bubuk Cokelat (0,64 %), Whey Bubuk, Skim Milk Bubuk (0,5%), Penstabil, Perisa Sintetik Cokelat, Premiks Vitamin.","Alergen:Susu Sapi Segar, Whey Bubuk, Skim Milk Bubuk",150 kkal,4.5 g,4 g,23 g,17 g,70 mg
Frisian Flag Sweet Delight (225ml),https://nyemil.com/frisian-flag-sweet-delight-225ml/,https://nyemil.com/wp-content/uploads/2023/11/Frisian-Flag-Sweet-Delight-225ml_fi.jpg,"Susu (Segar (50%), Skim Bubuk, Laktosa, Lemak Susu) (54%), Air, Sukrosa, Penstabil Nabati, Perisa Sintetik, 2 Mineral, 9 Vitamin (mengandung antioksidan tokoferol)","Alergen:Susu Segar, Skim Bubuk, Laktosa, Lemak Susu",150 kkal,6 g,6 g,19 g,19 g,80 mg
Milo Calcium (240ml),https://nyemil.com/milo-calcium-240ml/,https://nyemil.com/wp-content/uploads/2023/11/Milo-Calcium-240ml__fi.jpg,"Air, susu bubuk skim, ekstrak malt (barli) 3.5%, gula, minyak nabati (mengandung antioksidan askorbil palmitat), kakao bubuk 1.3%, 4 mineral, penstabil, premiks vitamin, pengemulsi lesitin kedelai, perisa sintetik.",Alergen:Susu dan barli,140 kkal,4 g,4 g,22 g,14 g,110 mg
Milo (110ml),https://nyemil.com/milo-110ml/,https://nyemil.com/wp-content/uploads/2023/11/Milo-110ml__fi.jpg,"Air, padatan susu sapi 9%, sukrosa, ekstrak malt (barli) 2%, minyak nabati, bubuk kakao 0.75%, 5 mineral, penstabil nabati, premiks vitamin, pengemulsi nabati, perisa alami.",Alergen:Susu dan barli.,70 kkal,2.5 g,2 g,11 g,9 g,65 mg
Nestle Goodnes Kurma Royale (189ml),https://nyemil.com/nestle-goodnes-kurma-royale-189ml/,https://nyemil.com/wp-content/uploads/2023/11/Nestle-Goodnes-Kurma-Royale-189ml_fi.jpg,"Padatan susu 52.4%, air, gula, konsentrat kurma 0.5%, pengemulsi nabati (mengandung lesitin kedelai), 3 mineral, perisa sintetik (mengandung antioksidan dl-alfa tokoferol), penstabil.",Alergen:Susu,140 kkal,4 g,4 g,22 g,20 g,190 mg
Greenfields Extra Honey Earl Grey Milk Tea (200ml),https://nyemil.com/greenfields-extra-honey-earl-grey-milk-tea-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Extra-Honey-Earl-Grey-Milk-Tea-200ml_fi.jpg,"Susu Segar (51%), Air, Gula, Susu Skim Bubuk, Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Ekstrak Teh Earl Grey (0,1%), Perisa Sintetik, Garam, Gula Karamel,Premiks Vitamin.",Alergen:Susu Segar dan Susu Skim Bubuk.,130 kkal,4 g,5 g,18 g,18 g,55 mg
Indomilk Susu Steril Honey (189ml),https://nyemil.com/indomilk-susu-steril-honey-189ml/,https://nyemil.com/wp-content/uploads/2023/11/Indomilk-Susu-Steril-Honey-189ml_fi.jpg,"Susu segar (80%), air, gula, madu (0.5%), susu skim bubuk (0.45%), penstabil nabati, perisa sintetik.",Alergen:Susu segar dan susu skim bubuk.,140 kkal,6 g,5 g,18 g,19 g,110 mg
Greenfields Extra Vanilla Chamomile Milk (200ml),https://nyemil.com/greenfields-extra-vanilla-chamomile-milk-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Extra-Vanilla-Chamomile-Milk-200ml_fi.jpg,"Susu Segar (51%), Air, Gula, Susu Skim Bubuk, Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Ekstrak Kamomil (0,1%), Perisa Sintetik, Garam, Premiks Vitamin.",Alergen:Susu Segar dan Susu Skim Bubuk,130 kkal,4 g,5 g,18 g,18 g,55 mg
Greenfields Extra Strawberry Rose Milk (200ml),https://nyemil.com/greenfields-extra-strawberry-rose-milk-with-collagen-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Extra-Strawberry-Rose-Milk-With-Collagen-200ml_fi.jpg,"Susu Segar (52%), Air, Susu Skim Bubuk, Gula, Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Perisa Sintetik, Sari Buah Stroberi Rekonstitusi (0,1%), Kolagen Sapi (0,05%), Garam, Ekstrak Mawar (0,01%), Pewarna Alami Karmin CI No, 75470, Premiks Vitamin, Pewarna Sintetik 4R CI No. 16255",Alergen:Susu Segar dan Susu Skim Bubuk.,110 kkal,3 g,6 g,14 g,14 g,60 mg
Greenfields Extra Chocomalt Milk (200ml),https://nyemil.com/greenfields-extra-chocomalt-milk-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Extra-Chocomalt-Milk-200ml_fi.jpg,"Susu Segar (51%), Air, Gula, Susu Skim Bubuk, Ekstrak Malt Bubuk (1,2%), Kakao Bubuk (0,7%), Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Perisa Sintetik, Garam, Premiks Vitamin","Alergen:Susu Segar, Susu Skim Bubuk, dan Ekstrak Malt Bubuk.",140 kkal,4 g,5 g,21 g,18 g,60 mg
Greenfields UHT Full Cream (250ml),https://nyemil.com/greenfields-uht-full-cream-250ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-UHT-Full-Cream-250ml_fi.jpg,100% Susu Segar,Alergen:Susu Segar,160 kkal,9 g,8 g,11 g,11 g,85 mg
Greenfields Full Cream Milk (200ml),https://nyemil.com/greenfields-full-cream-milk-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Full-Cream-Milk-200ml_fi.jpg,100% Susu Segar,Alergen:Susu Segar,130 kkal,7 g,6 g,9 g,9 g,70 mg
Greenfields Strawberry (250ml),https://nyemil.com/greenfields-strawberry-250ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Strawberry-250ml_fi.jpg,"Susu Segar (51%), Air, Gula, Susu Skim Bubuk, Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Perisa Sintetik Stroberi, Garam, Sari Buah Stroberi Rekonstitusi (0.1%), Pewarna Alami karmin Cl No. 75470, Premiks Vitamin, Pewarna Sintetik Ponceau 4R CI No 16255.",Alergen:Susu Segar dan Susu Skim Bubuk.,180 kkal,5 g,7 g,27 g,23 g,75 mg
Greenfields Strawberry (200ml),https://nyemil.com/greenfields-strawberry-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Strawberry-200ml_fi.jpg,"Susu Segar (51%), Air, Gula, Susu Skim Bubuk, Penstabil (Nabati, Fosfat), Pengemulsi Nabati, Perisa Sintetik Stroberi, garam, Sari Buah Stroberi Rekonstitusi (0.1%), Pewarna Alami karmin Cl No. 75470, Premiks Vitamin, Pewarna Sintetik Ponceau 4R CI No 16255.",Alergen:Susu Segar dan Susu Skim Bubuk.,150 kkal,4 g,6 g,22 g,18 g,60 mg
Greenfields Chocolate (250ml),https://nyemil.com/greenfields-chocolate-250ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Chocolate-250ml_fi.jpg,"Susu segar (51%), Air, Gula, Susu skim bubuk, Bubuk kakao (0.7%), Penstabil (nabati, fosfat), Pengemulsi nabati, Perisa sintetik, Garam, Premiks vitamin.","Alergen:Susu segar, Susu skim bubuk,",190 kkal,5 g,8 g,28 g,25 g,75 mg
Greenfields Chocolate (200ml),https://nyemil.com/greenfields-chocolate-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Greenfields-Chocolate-200ml_fi.jpg,"Susu segar (51%), Air, Gula, Susu skim bubuk, Bubuk kakao (0.7%), Penstabil (nabati, fosfat), Pengemulsi nabati, Perisa sintetik, Garam, Premiks vitamin.","Alergen:Susu segar, Susu skim bubuk,",150 kkal,4 g,6 g,23 g,20 g,60 mg
Cimory Yogurt Drink Mixed Berry (240ml),https://nyemil.com/cimory-yogurt-drink-mixed-berry-240ml/,https://nyemil.com/wp-content/uploads/2023/11/Cimory-Yogurt-Drink-Mixed-Berry-240ml_fi.jpg,"Yogurt, air, gula, penstabil nabati, Sari buah (raspberry, stroberi dan blueberry) 0.1%, perisa sintetik (raspberry, stroberi dan blueberry), pewarna alami karmin CI. No. 75470, pewarna sintetik biru berlian FCF CI. No. 42090.",Alergen:Yogurt,200 kkal,3.5 g,4 g,37 g,25 g,90 mg
Cimory Yogurt Drink Low Fat Strawberry & Mango (240ml),https://nyemil.com/cimory-yogurt-drink-low-fat-strawberry-mango-240ml/,https://nyemil.com/wp-content/uploads/2023/11/Cimory-Yogurt-Drink-Low-Fat-Strawberry-Mango-240ml_fi.jpg,"Yogurt, air, gula, penstabil nabati, sari buah stroberi 0,1% (mengandung puree stroberi 15%), sari buah mangga 0,1% (mengandung puree mangga 15%), perisa sintetik stroberi, perisa alami mangga, pewarna alami (karmin Cl No. 75470 dan kurkumin Cl No. 75300).",Alergen:Yogurt,190 kkal,2.5 g,4 g,39 g,25 g,90 mg
Milk Life Cokelat (200ml),https://nyemil.com/milk-life-cokelat-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Milk-Life-Cokelat-200ml_fi.jpg,"Air, Susu Segar (30%), Gula, Susu Full Cream Bubuk, Susu Skim Bubuk, Bubuk Kakao (0.8%), Penstabil Nabati, Perisa Sintetik Cokelat (mengandung gluten, antioksidan asam askorbat)","Alergen:Susu segar, susu full cream bubuk, susu skim bubuk, perisa sintetik cokelat, gluten",150 kkal,4 g,5 g,23 g,23 g,95 mg
Milk Life Plain (200ml),https://nyemil.com/milk-life-plain-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Milk-Life-Plain-200ml_fi.jpg,"Susu Segar (50%), Air, Susu Füll Cream Bubuk, Susu Skim Bubuk, Penstabil Nabati.","Alergen:Susu Segar, Susu Füll Cream Bubuk, Susu Skim Bubuk.",120 kkal,6 g,6 g,11 g,9 g,70 mg
Milk Life Kurma (200ml),https://nyemil.com/milk-life-kurma-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Milk-Life-Kurma-200ml_fi.jpg,"Susu Segar (75%), Air, Gula, Susu Skim Bubuk, Pasta Kurma 2% (mengandung kuma 6%, pewarna alami karamel I, dan putih telur bubuk), Susu Full Cream Bubuk, Penstabil Nabati, Perisa Sintetik.","Alergen:Susu Segar, Susu Skim Bubuk, Putih Telur Bubuk, Susu Full Cream Bubuk.",190 kkal,7 g,7 g,25 g,20 g,75 mg
Milk Life Stroberi (200ml),https://nyemil.com/milk-life-stroberi-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Milk-Life-Stroberi-200ml_fi.jpg,"Susu Segar (50%), Air, Gula, Susu Skim Bubuk, Susu Full Cream Bubuk, Penstabil Nabati, Perisa Sintetik Stroberi (mengandung antioksidan asam askorbat), Pewarna Alami Karmin Cl. 75470","Alergen:Susu Segar, Susu Skim Bubuk, Susu Full Cream Bubuk",150 kkal,4.5 g,5 g,22 g,21 g,60 mg
Milk Life Original (200ml),https://nyemil.com/milk-life-original-200ml/,https://nyemil.com/wp-content/uploads/2023/11/Milk-Life-Original-200ml__fi.jpg,Susu Segar (100%),Alergen:Susu Segar,110 kkal,6 g,5 g,7 g,5 g,60 mg
Selamat Double Chocolate Sandwich Wafer (145g),https://nyemil.com/selamat-double-chocolate-sandwich-wafer-145g/,https://nyemil.com/wp-content/uploads/2023/11/Selamat-Double-Chocolate-Sandwich-Wafer-145g_fi.jpg,"Tepung Terigu, Gula, Minyak Nabati, Kakao Bubuk (10%), Susu Skim Bubuk, Pengemulsi Lesitin Kedelai, Garam, Pengembang, Perisa Sintetik.","Alergen:Tepung Terigu, Susu Skim Bubuk. Diproduksi menggunakan peralatan yang juga memproses Kacang-Cacangan, Telur, Kedelai dan Gandum.",725 kkal,29 g,9.7 g,101.5 g,48.3 g,193.3 mg
Selamat Black Vanilla Sandwich Wafer (145g),https://nyemil.com/selamat-black-vanilla-sandwich-wafer-145g/,https://nyemil.com/wp-content/uploads/2023/11/Selamat-Black-Vanilla-Sandwich-Wafer-145g_fi.jpg,"Tepung Terigu, Gula, Lemak Reroti (mengandung Antioksidan Askorbil Palmitat, Tokoferol Campuran Pekat), Minyak Lesitin Kedelai, Garam, Pengembang, Perisa Sintetik.","Alergen:Tepung Terigu, Susu Skim Bubuk, Whey Bubuk. Diproduksi menggunakan peralatan yang juga memproses Kacang-kacangan, Telur, Kedelai dan Gandum.",676.7 kkal,29 g,9.7 g,101.5 g,48.3 g,386.7 mg
Selamat Chocolate Sandwich Wafer (145g),https://nyemil.com/selamat-chocolate-sandwich-wafer-145g/,https://nyemil.com/wp-content/uploads/2023/11/Selamat-Chocolate-Sandwich-Wafer-145g_fi.jpg,"Tepung Terigu, Gula, Minyak Nabati, Kakao Bubuk (7%), Susu Skim Bubuk, Pengemulsi Lesitin Kedelai, Garam, Pengembang, Perisa Sintetik.","Alergen:Tepung Terigu, Susu Skim Bubuk. Diproduksi menggunakan peralatan yang juga memproses Kacang-kacangan, Telur, Kedelai dan Gandum.",676.7 kkal,29 g,9.7 g,101.5 g,48.3 g,193.3 mg
Astor Chocolate (40g),https://nyemil.com/astor-chocolate-40g/,https://nyemil.com/wp-content/uploads/2023/11/Astor-Chocolate-40g_fi.jpg,"Gula, Tepung Terigu, Minyak Nabati (Minyak Kelapa dan Minyak Sawit (mengandung Antioksidan BHA)), Susu Bubuk, Kakao Bubuk, Tepung Tapioka, Kacang Mede, Maltodekstrin, Pengemulsi (Lesitin Kedelai), Pewama Alami Karamel IV (E150d), Garam, Perisa Sintetik, Pengembang.","Alergen:Tepung Terigu, Susu Bubuk, Kacang Mede.",192 kkal,8 g,3.2 g,28.8 g,16 g,40 mg
Astor Matcha (40g),https://nyemil.com/astor-matcha-40g/,https://nyemil.com/wp-content/uploads/2023/11/Astor-Matcha-40g_fi.jpg,"Tepung Terigu, Gula, Minyak Nabati (mengandung Antioksidan BHA), Laktosa, Maltodekstrin, Susu Bubuk, Tepung Tapioka, Krimer Nabati, Pengemulsi (Lesitin Kedelai, Bubuk Teh Matcha (0,458%), Garam, Perisa Sintetik, Pengembang, Pewarna Karamel Kelas IV, Pewarna Makanan (Tartazin Cl 19140, Biru Berlian FCF Cl 42090).","Alergen:Tepung Terigu, Laktosa, Susu Bubuk.",192 kkal,8 g,1.6 g,28.8 g,11.2 g,88 mg
Astor Vanilla Shake (40g),https://nyemil.com/astor-vanilla-shake-40g/,https://nyemil.com/wp-content/uploads/2023/11/Astor-Vanilla-Shake-40g_fi.jpg,"Gula, Tepung Terigu, Minyak Nabati (mengandung Antioksidan BHA), Susu Bubuk, Maltodekstrin, Tepung Tapioka, Krimer Nabati, Pengemulsi Lesitin Kedelai), Garam, Pewarna Karamel Kelas IV, Perisa Sintetik, Pengembang.","Alergen:Tepung Terigu, Susu Bubuk",208 kkal,9.6 g,1.6 g,27.2 g,12.8 g,88 mg
Deka Crepes ChocoBanana (90g),https://nyemil.com/deka-crepes-chocobanana-90g/,https://nyemil.com/wp-content/uploads/2023/11/Deka-Crepes-ChocoBanana-90g__fi.jpg,"Tepung Terigu, Gula, Lemak Nabati (mengandung Antioksidan Tokoferol), Pisang (6%), Whey Bubuk, Kakao Bubuk (3%), Maltodekstrin, Susu Bubuk, Pewarna Makanan Alami Karamel V (E1500), Pengemulsi (Lesitin Kedelai (E322), Sorbitan Tristearat (E492)) Serat Gandum, Garam, Kuning Telur Bubuk, Dekstrosa Anhidrat. Tepung Beras, Perisa Sintetik (Pisang, Vanila, Susu).","Alergen:Tepung Terigu, Whey Bubuk, Susu Bubuk, Pengemulsi, Serat Gandum, Kuning Telur Bubuk. Diproduksi dengan peralatan yang juga memproses produk yang mengandung kacang, kacang pohon dan wijen.",420 kkal,13.5 g,6 g,66 g,27 g,180 mg
Mayasi Crispy Crepes Strawberry Milk (90g),https://nyemil.com/mayasi-crispy-crepes-strawberry-milk-90g/,https://nyemil.com/wp-content/uploads/2023/11/Mayasi-Crispy-Crepes-Strawberry-Milk-90g_fi.jpg,"Terigu, Gula, Lemak Nabati (mengandung Antioksidan BHA dan TBHQ), Susu Bubuk (7.58%), Garam, Pengemulsi Lesitin Kedelai, Perisa Sintetik Susu dan Stroberi, Pengatur Keasaman Asam Sitrat, Tepung Stroberi (0.024%), Pewarna Sintetik (Eritrosin Cl 45430, Ponceau 4R Cl 16255 dan Karmoisin CI 14720).","Alergen:Terigu, Susu Bubuk",420 kkal,13.5 g,6 g,66 g,27 g,360 mg
Tao Kae Noi Big Sheet Japanese Sauce (3.2g),https://nyemil.com/tao-kae-noi-big-sheet-japanese-sauce-3-2g/,https://nyemil.com/wp-content/uploads/2023/11/Tao-Kae-Noi-Big-Sheet-Japanese-Sauce-3.2g_fi.jpg,"Rumput Laut, Minyak Nabati, (Mengandung Antioksidan BHT), Bumbu japanese 8% (Mengandung Hidrolisat Protein Kedelai, Penguat Rasa (Mononatrium L-glutamate, Dinatrium Guanilat, Dinatrium Inosinat)).",Alergen:Hidrolisat Protein Kedelai,20 kkal,2 g,0 g,1 g,0 g,30 mg
Tao Kae Noi Big Sheet Spicy Flavor (3.2g),https://nyemil.com/tao-kae-noi-big-sheet-spicy-flavor-3-2g/,https://nyemil.com/wp-content/uploads/2023/11/Tao-Kae-Noi-Big-Sheet-Spicy-Flavor-3.2g_fi.jpg,"Rumput Laut 50%, Minyak Nabati (Mengandung Antioksidan BHT), Bumbu Rasa Pedas (Mengandung Cabe 1.5%, Penguat Rasa (Dinatrium Guanilat, Dinatrium Inosinat)).",,20 kkal,2 g,0 g,1 g,g,30 mg
Biokul Yogurt Plain (80ml),https://nyemil.com/biokul-yogurt-plain-80ml/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Yogurt-Plain-80ml__fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Konsentrat Susu, Gula, Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Kultur Yogurt (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium).","Alergen:Susu Sapi, Susu Skim Bubuk, Konsentrat Susu.",70 kkal,0.5 g,4 g,12 g,6 g,45 mg
Biokul Yogurt Mango (80ml),https://nyemil.com/biokul-yogurt-mango-80ml/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Yogurt-Mango-80ml__fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Konsentrat Susu, Buah Mangga (6%), Gula, Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Perisa Sintetik Mangga, Pengatur Keasaman Asam Sitrat, Kultur Yogurt (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium).","Alergen:Susu Sapi, Susu Skim Bubuk, Konsentrat Susu.",80 kkal,0.5 g,4 g,13 g,8 g,50 mg
Biokul Yogurt Blueberry (80ml),https://nyemil.com/biokul-yogurt-blueberry-80ml/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Yogurt-Blueberry-80ml_fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Konsentrat Susu, Gula, Buah Blueberi (3.5%), Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Perisa Sintetik Blueberi, Pengatur Keasaman Asam Sitrat, Kultur Yogurt (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium).","Alergen:Susu Sapi, Susu Skim Bubuk, Konsentrat Susu",80 kkal,0.5 g,5 g,13 g,8 g,50 mg
Biokul Yogurt Apricot (80ml),https://nyemil.com/biokul-yogurt-apricot-80ml/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Yogurt-Apricot-80ml_fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Aprikot Olahan (10%), Konsentrat Susu, Gula, Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Kultur Yogurt (S. thermophilus, L. bulgaricus, L acidophilus, Bifidobacterium).","Alergen:Susu Sapi, Susu Skim Bubuk, Konsentrat Susu",80 kkal,0.5 g,4 g,14 g,7 g,40 mg
Biokul Yogurt Cherry (80ml),https://nyemil.com/biokul-yogurt-cherry-80ml/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Yogurt-Cherry-80ml_fi.jpg,"Air, Susu Sapi (25%), Susu Skim Bubuk, Konsentrat Susu, Gula, Buah Ceri (5.7%), Pati Modifikasi, Penstabil (Nabati, Gelatin Sapi), Kultur Yogurt (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium), Perisa Sintetik (Ceri, Vanila).","Alergen:Susu Sapi, Susu Skim Bubuk, Konsentrat Susu",70 kkal,0.5 g,4 g,12 g,7 g,65 mg
Biokul Greek Yogurt Mango (80g),https://nyemil.com/biokul-greek-yogurt-mango-80g/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Greek-Yogurt-Mango-80g_fi.jpg,"Yogurt (84,96%) (Mengandung Susu (43,3%), Kultur Bakteri (S. thermophilus, L. bulgaricus, L. acidophilus, Bifidobacterium)), Gula, Mangga (Puree (4,06%), Potongan (1.2%)), Air, Pengatur Keasaman Asam Sitrat, Penstabil Nabati, Perisa Sintetik.","Alergen:Yogurt, Susu",130 kkal,3 g,5 g,10 g,3 g,60 mg
Biokul Greek Yogurt Blueberry (80g),https://nyemil.com/biokul-greek-yogurt-blueberry-80g/,https://nyemil.com/wp-content/uploads/2023/11/Biokul-Greek-Yogurt-Blueberry-80g_fi.jpg,"Air, Konsentrat Susu, Buttermilk Bubuk, Gula, Krim Susu, Buah Bluberi (4.4%), Pati Modifikasi, Penstabil (Gelatin Sapi, Nabati), Perisa Sintetik Bluberi, Pengatur Keasaman (Asam Laktat, Asam Sitrat), Kultur Yogurt (S. thermophilus, L. bulgaricus, L acidophilus, Bifidobacterium).","Alergen:Konsentrat Susu, Buttermilk Bubuk, Krim Susu",130 kkal,6 g,5 g,13 g,9 g,70 mg
