scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-3631,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/honey-oat-loops/1-porsi,Kellogg's,Honey Oat Loops,1 porsi (30 g),120_kkal,"1,50g","0,000g","0,000g",0,"2,00g",0,"3,0g","9,00g",115mg,0,0,0
1715569705-3632,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/banana-corn-flakes/1-porsi,Kellogg's,Banana Corn Flakes,1 porsi (30 g),120_kkal,"1,00g","1,000g","0,000g",0,"2,00g",0,"1,0g","9,00g",95mg,0,0,0
1715569705-3633,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/mueslix-raisin-almond-crunch/1-porsi,Kellogg's,Mueslix Raisin & Almond Crunch,1 sendok makan (45 g),180_kkal,"3,00g","0,500g","0,000g",0,"4,00g",0,"3,0g","7,00g",40mg,0,0,0
1715569705-3634,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/coco-loops/1-porsi,Kellogg's,Coco Loops,1 porsi (30 g),120_kkal,"1,50g","1,000g","0,000g",0,"3,00g",0,"1,0g","11,00g",60mg,0,0,0
1715569705-3635,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/rice-krispies/1-porsi,Kellogg's,Rice Krispies,1 porsi (30 g),120_kkal,"0,00g","0,000g","0,000g",0,"2,00g",0,"2,0g","1,00g",230mg,0,0,0
1715569705-3636,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/corn-flakes-honey-crunch-with-nuts/1-porsi,Kellogg's,Corn Flakes Honey Crunch with Nuts,1 porsi (30 g),120_kkal,"1,00g","0,000g","0,000g",0,"2,00g",0,"1,0g","10,00g",190mg,0,0,0
1715569705-3637,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/honey-crunch/1-porsi,Kellogg's,Honey Crunch,1 porsi (30 g),120_kkal,"1,00g","0,000g","0,000g",0,"2,00g",0,"1,0g","10,00g",125mg,0,0,0
1715569705-3638,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/froot-loops/1-porsi,Kellogg's,Froot Loops,1 gelas (30 g),120_kkal,"0,50g","0,000g","0,000g",0,"2,00g",0,"3,0g","11,00g",105mg,0,0,0
1715569705-3639,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/corn-flakes/100g,Kellogg's,Corn Flakes,3 sendok (30 g),110_kkal,"0,00g","0,000g","0,000g",0,"2,00g",0,"1,0g","2,00g",140mg,0,0,0
1715569705-3640,https://www.fatsecret.co.id/kalori-gizi/search?q=Kellogg's,https://www.fatsecret.co.id/kalori-gizi/kelloggs/strawberry-corn-flakes/1-porsi,Kellogg's,Strawberry Corn Flakes,1 porsi (30 g),120_kkal,"0,00g","0,000g","0,000g",0,"1,00g",0,"1,0g","12,00g",80mg,0,0,0
